"C5_Fe_NO_1" "C5_Fe_NO_2" "C6_Fe_NO_1" "C6_Fe_NO_2" "C5_Fe_YES_1" "C5_Fe_YES_2" "C6_Fe_YES_1" "C6_Fe_YES_2"
"Rv0163" 27.897271 23.581223 1.827249 0.687762 25.613118 20.713172 1.124516 1.02008
"Rv0164" 310.91726 255.045543 12.157053 7.743694 301.918576 244.937423 25.849975 21.694543
"Rv0165c" 139.823735 135.404369 17.584309 11.434048 140.231819 116.458754 31.285629 25.034466
"Rv0166" 451.669033 420.876333 27.160019 22.932844 426.571475 384.399512 48.044168 37.110085
"Rv0167" 740.637744 739.000368 11.770334 8.253147 704.688119 641.591685 31.593532 22.733213
"Rv0168" 274.72373 277.692762 4.353321 3.694944 255.000666 251.2518 7.072815 8.01994
"Rv0169" 568.146028 479.982099 7.158583 4.710038 522.935422 430.111389 13.085572 13.233391
"Rv0170" 536.651216 448.323925 4.729689 3.238627 470.395607 419.887772 13.546038 11.692215
"Rv0171" 345.191109 366.951484 3.963547 3.494792 324.313692 336.69928 10.324041 11.318408
"Rv0172" 506.899238 499.403301 4.659939 5.463242 491.424561 483.746965 18.24073 17.52002
"Rv0173" 448.660624 397.873151 3.099654 2.606813 403.206807 382.92587 13.916 10.046006
"Rv0174" 1267.715324 1091.340895 9.541873 8.053216 1119.710196 992.616402 34.836737 30.499604
"Rv0175" 796.474459 799.505019 19.113929 16.24276 805.736017 792.705179 46.192717 45.525443
"Rv0176" 436.215026 480.610649 3.908555 3.398355 418.056829 430.895871 10.848268 12.881011
"Rv0177" 604.920381 567.451228 7.779503 8.334935 605.52179 603.207386 24.484047 19.416443
"Rv0178" 449.17588 427.767983 6.801843 6.827093 432.809416 385.620624 19.650718 16.454516
"Rv0179c" 344.967126 311.155758 13.375286 10.595257 349.058335 282.761904 12.242023 9.778065
"Rv0180c" 98.509946 93.315463 5.239362 3.461585 101.728744 92.282085 5.53404 5.818735
